([0.75, 0.0, 0.25], '->', [298, 397])
([0.78, 0.02, 0.2], '->', [319, 397])
([0.78, 0.03, 0.19], '->', [326, 397])
([0.78, 0.04, 0.18], '->', [321, 397])
([0.78, 0.05, 0.17], '->', [335, 397])
([0.78, 0.06, 0.16], '->', [330, 397])
([0.78, 0.07, 0.15], '->', [333, 397])
([0.78, 0.08, 0.14], '->', [329, 397])
([0.78, 0.09, 0.13], '->', [333, 397])
([0.78, 0.1, 0.12], '->', [333, 397])
([0.78, 0.11, 0.11], '->', [335, 397])
([0.78, 0.12, 0.1], '->', [336, 397])
([0.78, 0.13, 0.09], '->', [329, 397])
([0.78, 0.14, 0.08], '->', [335, 397])
([0.78, 0.15, 0.07], '->', [337, 397])
([0.78, 0.16, 0.06], '->', [331, 397])
([0.78, 0.17, 0.05], '->', [333, 397])
([0.78, 0.18, 0.04], '->', [328, 397])
([0.78, 0.19, 0.03], '->', [326, 397])
([0.78, 0.2, 0.02], '->', [318, 397])
([0.78, 0.21, 0.01], '->', [316, 397])
([0.78, 0.22, 0.0], '->', [286, 397])
([0.79, 0.0, 0.21], '->', [302, 397])
([0.79, 0.01, 0.2], '->', [317, 397])
([0.79, 0.02, 0.19], '->', [323, 397])
([0.79, 0.03, 0.18], '->', [321, 397])
([0.79, 0.04, 0.17], '->', [332, 397])
([0.79, 0.05, 0.16], '->', [332, 397])
([0.79, 0.06, 0.15], '->', [332, 397])
([0.79, 0.07, 0.14], '->', [331, 397])
([0.79, 0.08, 0.13], '->', [334, 397])
([0.79, 0.09, 0.12], '->', [335, 397])
([0.79, 0.1, 0.11], '->', [335, 397])
([0.79, 0.11, 0.1], '->', [334, 397])
([0.79, 0.12, 0.09], '->', [329, 397])
([0.79, 0.13, 0.08], '->', [335, 397])
([0.79, 0.14, 0.07], '->', [336, 397])
([0.79, 0.15, 0.06], '->', [332, 397])
([0.79, 0.16, 0.05], '->', [333, 397])
([0.79, 0.17, 0.04], '->', [330, 397])
([0.79, 0.18, 0.03], '->', [325, 397])
([0.79, 0.19, 0.02], '->', [322, 397])
([0.79, 0.2, 0.01], '->', [319, 397])
([0.79, 0.21, 0.0], '->', [287, 397])
([0.8, 0.0, 0.2], '->', [301, 397])
([0.8, 0.01, 0.19], '->', [324, 397])
([0.8, 0.02, 0.18], '->', [323, 397])
([0.8, 0.03, 0.17], '->', [335, 397])
([0.8, 0.04, 0.16], '->', [331, 397])
([0.8, 0.05, 0.15], '->', [333, 397])
([0.8, 0.06, 0.14], '->', [333, 397])
([0.8, 0.07, 0.13], '->', [333, 397])
([0.8, 0.08, 0.12], '->', [332, 397])
([0.8, 0.09, 0.11], '->', [334, 397])
([0.8, 0.1, 0.1], '->', [337, 397])
([0.8, 0.11, 0.09], '->', [331, 397])
([0.8, 0.12, 0.08], '->', [336, 397])
([0.8, 0.13, 0.07], '->', [332, 397])
([0.8, 0.14, 0.06], '->', [331, 397])
([0.8, 0.15, 0.05], '->', [333, 397])
([0.8, 0.16, 0.04], '->', [329, 397])
([0.8, 0.17, 0.03], '->', [326, 397])
([0.8, 0.18, 0.02], '->', [322, 397])
([0.8, 0.19, 0.01], '->', [319, 397])
([0.8, 0.2, 0.0], '->', [286, 397])
([0.81, 0.0, 0.19], '->', [306, 397])
([0.81, 0.01, 0.18], '->', [334, 397])
([0.81, 0.02, 0.17], '->', [336, 397])
([0.81, 0.03, 0.16], '->', [329, 397])
([0.81, 0.04, 0.15], '->', [333, 397])
([0.81, 0.05, 0.14], '->', [333, 397])
([0.81, 0.06, 0.13], '->', [332, 397])
([0.81, 0.07, 0.12], '->', [334, 397])
([0.81, 0.08, 0.11], '->', [335, 397])
([0.81, 0.09, 0.1], '->', [337, 397])
([0.81, 0.1, 0.09], '->', [334, 397])
([0.81, 0.11, 0.08], '->', [337, 397])
([0.81, 0.12, 0.07], '->', [336, 397])
([0.81, 0.13, 0.06], '->', [332, 397])
([0.81, 0.14, 0.05], '->', [333, 397])
([0.81, 0.15, 0.04], '->', [329, 397])
([0.81, 0.16, 0.03], '->', [326, 397])
([0.81, 0.17, 0.02], '->', [323, 397])
([0.81, 0.18, 0.01], '->', [319, 397])
([0.81, 0.19, 0.0], '->', [287, 397])
([0.82, 0.0, 0.18], '->', [315, 397])
([0.82, 0.01, 0.17], '->', [335, 397])
([0.82, 0.02, 0.16], '->', [331, 397])
([0.82, 0.03, 0.15], '->', [334, 397])
([0.82, 0.04, 0.14], '->', [332, 397])
([0.82, 0.05, 0.13], '->', [333, 397])
([0.82, 0.11, 0.07], '->', [331, 397])
([0.82, 0.12, 0.06], '->', [334, 397])
([0.82, 0.13, 0.05], '->', [332, 397])
([0.82, 0.14, 0.04], '->', [330, 397])
([0.82, 0.15, 0.03], '->', [325, 397])
([0.82, 0.16, 0.02], '->', [323, 397])
([0.82, 0.17, 0.01], '->', [319, 397])
([0.82, 0.18, 0.0], '->', [284, 397])
([0.83, 0.0, 0.17], '->', [310, 397])
([0.83, 0.01, 0.16], '->', [329, 397])
([0.83, 0.02, 0.15], '->', [332, 397])
([0.83, 0.03, 0.14], '->', [336, 397])
([0.83, 0.04, 0.13], '->', [332, 397])
([0.83, 0.05, 0.12], '->', [333, 397])
([0.83, 0.1, 0.07], '->', [335, 397])
([0.83, 0.11, 0.06], '->', [334, 397])
([0.83, 0.12, 0.05], '->', [332, 397])
([0.83, 0.13, 0.04], '->', [330, 397])
([0.83, 0.14, 0.03], '->', [326, 397])
([0.83, 0.15, 0.02], '->', [323, 397])
([0.83, 0.16, 0.01], '->', [320, 397])
([0.83, 0.17, 0.0], '->', [286, 397])
([0.84, 0.0, 0.16], '->', [311, 397])
([0.84, 0.01, 0.15], '->', [331, 397])
([0.84, 0.02, 0.14], '->', [333, 397])
([0.84, 0.03, 0.13], '->', [332, 397])
([0.84, 0.04, 0.12], '->', [335, 397])
([0.84, 0.05, 0.11], '->', [333, 397])
([0.84, 0.09, 0.07], '->', [335, 397])
([0.84, 0.1, 0.06], '->', [333, 397])
([0.84, 0.11, 0.05], '->', [336, 397])
([0.84, 0.12, 0.04], '->', [332, 397])
([0.84, 0.13, 0.03], '->', [325, 397])
([0.84, 0.14, 0.02], '->', [323, 397])
([0.84, 0.15, 0.01], '->', [315, 397])
([0.84, 0.16, 0.0], '->', [286, 397])
([0.85, 0.0, 0.15], '->', [310, 397])
([0.85, 0.01, 0.14], '->', [331, 397])
([0.85, 0.02, 0.13], '->', [333, 397])
([0.85, 0.03, 0.12], '->', [334, 397])
([0.85, 0.04, 0.11], '->', [335, 397])
([0.85, 0.05, 0.1], '->', [332, 397])
([0.85, 0.08, 0.07], '->', [335, 397])
([0.85, 0.09, 0.06], '->', [335, 397])
([0.85, 0.1, 0.05], '->', [336, 397])
([0.85, 0.11, 0.04], '->', [330, 397])
([0.85, 0.12, 0.03], '->', [330, 397])
([0.85, 0.13, 0.02], '->', [322, 397])
([0.85, 0.14, 0.01], '->', [317, 397])
([0.85, 0.15, 0.0], '->', [286, 397])
([0.86, 0.0, 0.14], '->', [311, 397])
([0.86, 0.01, 0.13], '->', [331, 397])
([0.86, 0.02, 0.12], '->', [337, 397])
([0.86, 0.03, 0.11], '->', [334, 397])
([0.86, 0.04, 0.1], '->', [332, 397])
([0.86, 0.05, 0.09], '->', [336, 397])
([0.86, 0.07, 0.07], '->', [336, 397])
([0.86, 0.08, 0.06], '->', [334, 397])
([0.86, 0.09, 0.05], '->', [334, 397])
([0.86, 0.1, 0.04], '->', [328, 397])
([0.86, 0.11, 0.03], '->', [331, 397])
([0.86, 0.12, 0.02], '->', [325, 397])
([0.86, 0.13, 0.01], '->', [317, 397])
([0.86, 0.14, 0.0], '->', [287, 397])
([0.87, 0.0, 0.13], '->', [310, 397])
([0.87, 0.01, 0.12], '->', [336, 397])
([0.87, 0.02, 0.11], '->', [334, 397])
([0.87, 0.03, 0.1], '->', [335, 397])
([0.87, 0.04, 0.09], '->', [336, 397])
([0.87, 0.05, 0.08], '->', [336, 397])
([0.87, 0.06, 0.07], '->', [333, 397])
([0.87, 0.07, 0.06], '->', [336, 397])
([0.87, 0.08, 0.05], '->', [336, 397])
([0.87, 0.09, 0.04], '->', [329, 397])
([0.87, 0.1, 0.03], '->', [328, 397])
([0.87, 0.11, 0.02], '->', [323, 397])
([0.87, 0.12, 0.01], '->', [318, 397])
([0.87, 0.13, 0.0], '->', [287, 397])
([0.88, 0.0, 0.12], '->', [313, 397])
([0.88, 0.01, 0.11], '->', [335, 397])
([0.88, 0.02, 0.1], '->', [333, 397])
([0.88, 0.03, 0.09], '->', [333, 397])
([0.88, 0.04, 0.08], '->', [336, 397])
([0.88, 0.05, 0.07], '->', [333, 397])
([0.88, 0.06, 0.06], '->', [336, 397])
([0.88, 0.07, 0.05], '->', [336, 397])
([0.88, 0.08, 0.04], '->', [335, 397])
([0.88, 0.09, 0.03], '->', [330, 397])
([0.88, 0.1, 0.02], '->', [325, 397])
([0.88, 0.11, 0.01], '->', [320, 397])
([0.88, 0.12, 0.0], '->', [287, 397])
([0.89, 0.0, 0.11], '->', [313, 397])
([0.89, 0.01, 0.1], '->', [332, 397])
([0.89, 0.02, 0.09], '->', [339, 397])
([0.89, 0.03, 0.08], '->', [332, 397])
([0.89, 0.04, 0.07], '->', [331, 397])
([0.89, 0.05, 0.06], '->', [332, 397])
([0.89, 0.06, 0.05], '->', [335, 397])
([0.89, 0.07, 0.04], '->', [332, 397])
([0.89, 0.08, 0.03], '->', [330, 397])
([0.89, 0.09, 0.02], '->', [325, 397])
([0.89, 0.1, 0.01], '->', [317, 397])
([0.89, 0.11, 0.0], '->', [286, 397])
([0.9, 0.0, 0.1], '->', [313, 397])
([0.9, 0.01, 0.09], '->', [335, 397])
([0.9, 0.02, 0.08], '->', [335, 397])
([0.9, 0.03, 0.07], '->', [332, 397])
([0.9, 0.04, 0.06], '->', [334, 397])
([0.9, 0.05, 0.05], '->', [336, 397])
([0.9, 0.06, 0.04], '->', [334, 397])
([0.9, 0.07, 0.03], '->', [331, 397])
([0.9, 0.08, 0.02], '->', [325, 397])
([0.9, 0.09, 0.01], '->', [320, 397])
([0.9, 0.1, 0.0], '->', [287, 397])
([0.91, 0.0, 0.09], '->', [314, 397])
([0.91, 0.01, 0.08], '->', [333, 397])
([0.91, 0.02, 0.07], '->', [334, 397])
([0.91, 0.03, 0.06], '->', [335, 397])
([0.91, 0.04, 0.05], '->', [334, 397])
([0.91, 0.05, 0.04], '->', [334, 397])
([0.91, 0.06, 0.03], '->', [335, 397])
([0.91, 0.07, 0.02], '->', [328, 397])
([0.91, 0.08, 0.01], '->', [322, 397])
([0.91, 0.09, 0.0], '->', [286, 397])
([0.92, 0.0, 0.08], '->', [309, 397])
([0.92, 0.01, 0.07], '->', [334, 397])
([0.92, 0.02, 0.06], '->', [334, 397])
([0.92, 0.03, 0.05], '->', [334, 397])
([0.92, 0.04, 0.04], '->', [334, 397])
([0.92, 0.05, 0.03], '->', [333, 397])
([0.92, 0.06, 0.02], '->', [331, 397])
([0.92, 0.07, 0.01], '->', [323, 397])
([0.92, 0.08, 0.0], '->', [287, 397])
([0.93, 0.0, 0.07], '->', [310, 397])
([0.93, 0.01, 0.06], '->', [337, 397])
([0.93, 0.02, 0.05], '->', [334, 397])
([0.93, 0.03, 0.04], '->', [334, 397])
([0.93, 0.04, 0.03], '->', [333, 397])
([0.93, 0.05, 0.02], '->', [330, 397])
([0.93, 0.06, 0.01], '->', [323, 397])
([0.93, 0.07, 0.0], '->', [288, 397])
([0.94, 0.0, 0.06], '->', [313, 397])
([0.94, 0.01, 0.05], '->', [336, 397])
([0.94, 0.02, 0.04], '->', [332, 397])
([0.94, 0.03, 0.03], '->', [329, 397])
([0.94, 0.04, 0.02], '->', [332, 397])
([0.94, 0.05, 0.01], '->', [325, 397])
([0.94, 0.06, 0.0], '->', [286, 397])
([0.95, 0.0, 0.05], '->', [309, 397])
([0.95, 0.01, 0.04], '->', [334, 397])
([0.95, 0.02, 0.03], '->', [334, 397])
([0.95, 0.03, 0.02], '->', [334, 397])
([0.95, 0.04, 0.01], '->', [325, 397])
([0.95, 0.05, 0.0], '->', [286, 397])
([0.96, 0.0, 0.04], '->', [310, 397])
([0.96, 0.01, 0.03], '->', [333, 397])
([0.96, 0.02, 0.02], '->', [333, 397])
([0.96, 0.03, 0.01], '->', [331, 397])
([0.96, 0.04, 0.0], '->', [287, 397])
([0.97, 0.0, 0.03], '->', [314, 397])
([0.97, 0.01, 0.02], '->', [334, 397])
([0.97, 0.02, 0.01], '->', [334, 397])
([0.97, 0.03, 0.0], '->', [286, 397])
([0.98, 0.0, 0.02], '->', [310, 397])
([0.98, 0.01, 0.01], '->', [332, 397])
([0.98, 0.02, 0.0], '->', [287, 397])
([0.99, 0.0, 0.01], '->', [310, 397])
([0.99, 0.01, 0.0], '->', [286, 397])
([1.0, 0.0, 0.0], '->', [109, 397])
